#,name,N.º of conflicts,Country of origin,Income group,Conflicts overseas?,Category,UN Global Compact
56,Consolidated Edison Co. of New York Inc.,11,United States of America ,High Income,yes,Fossil Fuels and Climate Justice/Energy,Not engaged
57,ConocoPhillips Co.,11,United States of America ,High Income,yes,Fossil Fuels and Climate Justice/Energy,Not engaged
60,China Communication Construction Company Ltd,11,China,China,yes,Infrastructure and Built Environment,Not engaged
63,Grupo Mexico,11,Mexico,Middle Income,yes,Mineral Ores and Building Materials Extraction,Not engaged
65,Federal Electricity Comission Mexico,11,Mexico,Middle Income,no,Water Management,Not engaged
68,Dole,10,United States of America ,High Income,yes,"Biomass and Land Conflicts (Forests, Agriculture, Fisheries and Livestock Management)",Not engaged
69,Birla,10,India,Low Income,yes,Industrial and Utilities conflicts,Not engaged
74,PowerChina Resources,9,China,China,yes,Fossil Fuels and Climate Justice/Energy,Not engaged
78,Grupo Luksic,9,Chile,High Income,yes,Mineral Ores and Building Materials Extraction,Not engaged
80,Petroecuador,8,Ecuador,Middle Income,no,Fossil Fuels and Climate Justice/Energy,Not engaged
81,YPFB,8,Bolivia,Low Income,no,Fossil Fuels and Climate Justice/Energy,Not engaged
82,PETRONAS,8,Malaysia,Middle Income,yes,Fossil Fuels and Climate Justice/Energy,Not engaged
83,Occidental Petroleum,8,United States of America ,High Income,yes,Fossil Fuels and Climate Justice/Energy,Not engaged
93,Jaypee Group,8,India,Low Income,no,Water Management,Not engaged
94,Andritz Group,8,Austria,High Income,yes,Water Management,Not engaged
